Continent,Country,Series,Year,Unit,Value
Africa,Congo,Wine exports,2016,1000 hl,0
Africa,Congo,Wine imports,2016,1000 hl,32
Africa,Congo,Wine consumption,2016,1000 hl,32
Africa,Congo,Consumption of wine per capita (+15),2016,l/capita (+15),1.1
Oceania,Cook Islands,Wine imports,2016,1000 hl,4
Oceania,Cook Islands,Wine consumption,2016,1000 hl,3
America,Costa Rica,Wine exports,2016,1000 hl,0
America,Costa Rica,Wine imports,2016,1000 hl,117
America,Costa Rica,Wine consumption,2016,1000 hl,113
America,Costa Rica,Consumption of wine per capita (+15),2016,l/capita (+15),3
Europe,Croatia,Wine production,2016,1000 hl,760
Europe,Croatia,Wine exports,2016,1000 hl,36
Europe,Croatia,Wine imports,2016,1000 hl,310
Europe,Croatia,Wine consumption,2016,1000 hl,1207
Europe,Croatia,Consumption of wine per capita (+15),2016,l/capita (+15),33.6
America,Cuba,Wine production,2016,1000 hl,117
America,Cuba,Wine exports,2016,1000 hl,0
America,Cuba,Wine imports,2016,1000 hl,74
America,Cuba,Wine consumption,2016,1000 hl,181
America,Cuba,Consumption of wine per capita (+15),2016,l/capita (+15),1.9
Asia,Cyprus,Wine production,2016,1000 hl,81
Asia,Cyprus,Wine exports,2016,1000 hl,6
Asia,Cyprus,Wine imports,2016,1000 hl,87
Asia,Cyprus,Wine consumption,2016,1000 hl,158
Asia,Cyprus,Consumption of wine per capita (+15),2016,l/capita (+15),16.3
Europe,Czech Republic,Wine production,2016,1000 hl,631
Europe,Czech Republic,Wine exports,2016,1000 hl,59
Europe,Czech Republic,Wine imports,2016,1000 hl,1403
Europe,Czech Republic,Wine consumption,2016,1000 hl,1920
Europe,Czech Republic,Consumption of wine per capita (+15),2016,l/capita (+15),21.3
Europe,Denmark,Wine exports,2016,1000 hl,320
Africa,Djibouti,Wine exports,2016,1000 hl,0
Africa,Djibouti,Wine imports,2016,1000 hl,2
Africa,Djibouti,Wine consumption,2016,1000 hl,3
Africa,Djibouti,Consumption of wine per capita (+15),2016,l/capita (+15),0.5
America,Dominica,Wine exports,2016,1000 hl,0
America,Dominica,Wine imports,2016,1000 hl,1
America,Dominica,Wine consumption,2016,1000 hl,1
Africa,Dominican Republic,Wine exports,2016,1000 hl,0
Africa,Dominican Republic,Wine imports,2016,1000 hl,131
Africa,Dominican Republic,Wine consumption,2016,1000 hl,132
Africa,Dominican Republic,Consumption of wine per capita (+15),2016,l/capita (+15),1.8
America,Ecuador,Wine exports,2016,1000 hl,0
America,Ecuador,Wine imports,2016,1000 hl,60
America,Ecuador,Wine consumption,2016,1000 hl,57
America,Ecuador,Consumption of wine per capita (+15),2016,l/capita (+15),0.5
Africa,Egypt,Wine production,2016,1000 hl,54
Africa,Egypt,Wine exports,2016,1000 hl,0
Africa,Egypt,Wine imports,2016,1000 hl,0
Africa,Egypt,Wine consumption,2016,1000 hl,59
Africa,Egypt,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
America,El Salvador,Wine exports,2016,1000 hl,0
America,El Salvador,Wine imports,2016,1000 hl,20
America,El Salvador,Wine consumption,2016,1000 hl,20
America,El Salvador,Consumption of wine per capita (+15),2016,l/capita (+15),0.4
Europe,Estonia,Wine production,2016,1000 hl,120
Europe,Estonia,Wine exports,2016,1000 hl,49
Europe,Estonia,Wine imports,2016,1000 hl,252
Europe,Estonia,Wine consumption,2016,1000 hl,200
Europe,Estonia,Consumption of wine per capita (+15),2016,l/capita (+15),18.2
Africa,Ethiopia,Wine production,2016,1000 hl,17
Africa,Ethiopia,Wine exports,2016,1000 hl,1
Africa,Ethiopia,Wine imports,2016,1000 hl,6
Africa,Ethiopia,Wine consumption,2016,1000 hl,23
Africa,Ethiopia,Consumption of wine per capita (+15),2016,l/capita (+15),0
Europe,Faroe Islands,Wine imports,2016,1000 hl,4
Europe,Faroe Islands,Wine consumption,2016,1000 hl,4
Oceania,Fiji,Wine imports,2016,1000 hl,13
Oceania,Fiji,Wine consumption,2016,1000 hl,14
Oceania,Fiji,Consumption of wine per capita (+15),2016,l/capita (+15),2.2
Europe,Finland,Wine exports,2016,1000 hl,94
Europe,Finland,Wine imports,2016,1000 hl,763
Europe,Finland,Wine consumption,2016,1000 hl,565
Europe,Finland,Consumption of wine per capita (+15),2016,l/capita (+15),12.3
Europe,France,Wine production,2016,1000 hl,45367
Europe,France,Wine exports,2016,1000 hl,14072
Europe,France,Wine imports,2016,1000 hl,7750
Europe,France,Wine consumption,2016,1000 hl,27114
Europe,France,Consumption of wine per capita (+15),2016,l/capita (+15),51.2
America,French Guiana,Wine imports,2016,1000 hl,1
America,French Guiana,Wine consumption,2016,1000 hl,1
America,French Guiana,Consumption of wine per capita (+15),2016,l/capita (+15),0.6
Oceania,French Polynesia,Wine imports,2016,1000 hl,26
Oceania,French Polynesia,Wine consumption,2016,1000 hl,27
Oceania,French Polynesia,Consumption of wine per capita (+15),2016,l/capita (+15),12.9
Africa,Gabon,Wine exports,2016,1000 hl,0
Africa,Gabon,Wine imports,2016,1000 hl,71
Africa,Gabon,Wine consumption,2016,1000 hl,73
Africa,Gabon,Consumption of wine per capita (+15),2016,l/capita (+15),5.8
Africa,Gambia,Wine imports,2016,1000 hl,0
Africa,Gambia,Wine consumption,2016,1000 hl,0
Asia,Georgia,Wine production,2016,1000 hl,884
Asia,Georgia,Wine exports,2016,1000 hl,376
Asia,Georgia,Wine imports,2016,1000 hl,2
Asia,Georgia,Wine consumption,2016,1000 hl,506
Asia,Georgia,Consumption of wine per capita (+15),2016,l/capita (+15),15.9
Europe,Germany,Wine production,2016,1000 hl,9013
Europe,Germany,Wine exports,2016,1000 hl,3609
Europe,Germany,Wine imports,2016,1000 hl,14851
Europe,Germany,Wine consumption,2016,1000 hl,20200
Europe,Germany,Consumption of wine per capita (+15),2016,l/capita (+15),28.4
Africa,Ghana,Wine exports,2016,1000 hl,10
Africa,Ghana,Wine imports,2016,1000 hl,60
Africa,Ghana,Wine consumption,2016,1000 hl,55
Africa,Ghana,Consumption of wine per capita (+15),2016,l/capita (+15),0.3
Europe,Greece,Wine production,2016,1000 hl,2490
Europe,Greece,Wine exports,2016,1000 hl,274
Europe,Greece,Wine imports,2016,1000 hl,165
Europe,Greece,Wine consumption,2016,1000 hl,2266
Europe,Greece,Consumption of wine per capita (+15),2016,l/capita (+15),23.7
America,Greenland,Wine exports,2016,1000 hl,0
America,Greenland,Wine imports,2016,1000 hl,4
America,Greenland,Wine imports,2016,1000 hl,6
America,Greenland,Wine consumption,2016,1000 hl,4
America,Greenland,Wine consumption,2016,1000 hl,6
America,Grenada,Wine exports,2016,1000 hl,0
America,Guadeloupe,Wine imports,2016,1000 hl,
America,Guadeloupe,Wine consumption,2016,1000 hl,0
Oceania,Guam,Wine imports,2016,1000 hl,1
Oceania,Guam,Wine consumption,2016,1000 hl,2
Oceania,Guam,Consumption of wine per capita (+15),2016,l/capita (+15),1.7
America,Guatemala,Wine exports,2016,1000 hl,5
America,Guatemala,Wine imports,2016,1000 hl,43
America,Guatemala,Wine consumption,2016,1000 hl,23
America,Guatemala,Consumption of wine per capita (+15),2016,l/capita (+15),0.2
Africa,Guinea-bissau,Wine imports,2016,1000 hl,92
Africa,Guinea-bissau,Wine consumption,2016,1000 hl,86
Africa,Guinea-bissau,Consumption of wine per capita (+15),2016,l/capita (+15),8.1
Africa,Guinea,Wine imports,2016,1000 hl,5
Africa,Guinea,Wine consumption,2016,1000 hl,5
Africa,Guinea,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
America,Guyana,Wine exports,2016,1000 hl,1
America,Guyana,Wine imports,2016,1000 hl,2
America,Guyana,Wine consumption,2016,1000 hl,0
America,Haiti,Wine imports,2016,1000 hl,9
America,Haiti,Wine consumption,2016,1000 hl,9
America,Haiti,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
America,Honduras,Wine exports,2016,1000 hl,0
America,Honduras,Wine imports,2016,1000 hl,19
America,Honduras,Wine consumption,2016,1000 hl,15
America,Honduras,Consumption of wine per capita (+15),2016,l/capita (+15),0.2
Asia,Hong Kong,,,,
Asia,Hong Kong,,,,
Asia,Hong Kong,,,,
Asia,Hong Kong,,,,
Europe,Hungary,Wine production,2016,1000 hl,2545
Europe,Hungary,Wine exports,2016,1000 hl,750
Europe,Hungary,Wine imports,2016,1000 hl,207
Europe,Hungary,Wine consumption,2016,1000 hl,2310
Europe,Hungary,Consumption of wine per capita (+15),2016,l/capita (+15),27.7
Europe,Iceland,Wine exports,2016,1000 hl,0
Europe,Iceland,Wine imports,2016,1000 hl,44
Europe,Iceland,Wine consumption,2016,1000 hl,44
Europe,Iceland,Consumption of wine per capita (+15),2016,l/capita (+15),16.3
Asia,India,Wine production,2016,1000 hl,194
Asia,India,Wine exports,2016,1000 hl,13
Asia,India,Wine imports,2016,1000 hl,41
Asia,India,Wine consumption,2016,1000 hl,217
Asia,India,Consumption of wine per capita (+15),2016,l/capita (+15),0
Asia,Indonesia,Wine exports,2016,1000 hl,5
Asia,Indonesia,Wine imports,2016,1000 hl,0
Asia,Indonesia,Wine consumption,2016,1000 hl,1
Asia,Indonesia,Consumption of wine per capita (+15),2016,l/capita (+15),0
Asia,Iran,,,,
Asia,Iran,,,,
Asia,Iran,,,,
Asia,Iraq,Wine imports,2016,1000 hl,8
Asia,Iraq,Wine consumption,2016,1000 hl,8
Asia,Iraq,Consumption of wine per capita (+15),2016,l/capita (+15),0
Europe,Ireland,Wine exports,2016,1000 hl,39
Europe,Ireland,Wine imports,2016,1000 hl,848
Europe,Ireland,Wine consumption,2016,1000 hl,893
Europe,Ireland,Consumption of wine per capita (+15),2016,l/capita (+15),24.1
Europe,Israel,Wine production,2016,1000 hl,200
Europe,Israel,Wine exports,2016,1000 hl,189
Europe,Israel,Wine imports,2016,1000 hl,69
Europe,Israel,Wine consumption,2016,1000 hl,36
Europe,Israel,Consumption of wine per capita (+15),2016,l/capita (+15),0.6
Europe,Italy,Wine production,2016,1000 hl,50920
Europe,Italy,Wine exports,2016,1000 hl,20636
Europe,Italy,Wine imports,2016,1000 hl,1706
Europe,Italy,Wine consumption,2016,1000 hl,22400
Europe,Italy,Consumption of wine per capita (+15),2016,l/capita (+15),43.6
Africa,Ivory Coast,Wine exports,2016,1000 hl,0
America,Jamaica,Wine exports,2016,1000 hl,6
America,Jamaica,Wine imports,2016,1000 hl,58
America,Jamaica,Wine consumption,2016,1000 hl,40
America,Jamaica,Consumption of wine per capita (+15),2016,l/capita (+15),1.8
Asia,Japan,Wine production,2016,1000 hl,789
Asia,Japan,Wine exports,2016,1000 hl,2
Asia,Japan,Wine imports,2016,1000 hl,2686
Asia,Japan,Wine consumption,2016,1000 hl,3506
Asia,Japan,Consumption of wine per capita (+15),2016,l/capita (+15),3.2
Asia,Jordan,Wine exports,2016,1000 hl,0
Asia,Jordan,Wine imports,2016,1000 hl,4
Asia,Jordan,Wine consumption,2016,1000 hl,3
Asia,Jordan,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
Asia,Kazakhstan,Wine production,2016,1000 hl,272
Asia,Kazakhstan,Wine exports,2016,1000 hl,5
Asia,Kazakhstan,Wine imports,2016,1000 hl,93
Asia,Kazakhstan,Wine consumption,2016,1000 hl,355
Asia,Kazakhstan,Consumption of wine per capita (+15),2016,l/capita (+15),2.7
Africa,Kenya,Wine exports,2016,1000 hl,10
Africa,Kenya,Wine imports,2016,1000 hl,71
Africa,Kenya,Wine consumption,2016,1000 hl,58
Africa,Kenya,Consumption of wine per capita (+15),2016,l/capita (+15),0.2
Oceania,Kiribati,Wine imports,2016,1000 hl,0
Oceania,Kiribati,Wine consumption,2016,1000 hl,0
Asia,Korea,,,,
Asia,Korea,,,,
Asia,Korea,,,,
Asia,Korea,,,,
Asia,Kyrgyzstan,Wine production,2016,1000 hl,16
Asia,Kyrgyzstan,Wine exports,2016,1000 hl,2
Asia,Kyrgyzstan,Wine imports,2016,1000 hl,14
Asia,Kyrgyzstan,Wine consumption,2016,1000 hl,27
Asia,Kyrgyzstan,Consumption of wine per capita (+15),2016,l/capita (+15),0.7
Asia,Lao,,,,
Asia,Lao,,,,
Asia,Lao,,,,
Europe,Latvia,Wine production,2016,1000 hl,26
Europe,Latvia,Wine exports,2016,1000 hl,476
Europe,Latvia,Wine imports,2016,1000 hl,608
Europe,Latvia,Wine consumption,2016,1000 hl,151
Europe,Latvia,Consumption of wine per capita (+15),2016,l/capita (+15),9
Asia,Lebanon,Wine production,2016,1000 hl,100
Asia,Lebanon,Wine exports,2016,1000 hl,21
Asia,Lebanon,Wine imports,2016,1000 hl,13
Asia,Lebanon,Wine consumption,2016,1000 hl,97
Asia,Lebanon,Consumption of wine per capita (+15),2016,l/capita (+15),2.1
Africa,Lesotho,Wine imports,2016,1000 hl,13
Africa,Lesotho,Wine consumption,2016,1000 hl,11
Africa,Lesotho,Consumption of wine per capita (+15),2016,l/capita (+15),0.8
Africa,Liberia,Wine imports,2016,1000 hl,5
Africa,Liberia,Wine consumption,2016,1000 hl,5
Africa,Liberia,Consumption of wine per capita (+15),2016,l/capita (+15),0.2
Africa,Libya,Wine exports,2016,1000 hl,0
Africa,Libya,Wine imports,2016,1000 hl,0
Africa,Libya,Wine consumption,2016,1000 hl,1
Africa,Libya,Consumption of wine per capita (+15),2016,l/capita (+15),0
Europe,Lithuania,Wine production,2016,1000 hl,48
Europe,Lithuania,Wine exports,2016,1000 hl,546
Europe,Luxembourg,Wine production,2016,1000 hl,83
Europe,Luxembourg,Wine exports,2016,1000 hl,67
Europe,Luxembourg,Wine imports,2016,1000 hl,218
Europe,Luxembourg,Wine consumption,2016,1000 hl,260
Europe,Luxembourg,Consumption of wine per capita (+15),2016,l/capita (+15),54.2
Asia,Macao,,,,
Asia,Macao,,,,
Asia,Macao,,,,
Asia,Macao,,,,
Africa,Madagascar,Wine production,2016,1000 hl,87
Africa,Madagascar,Wine exports,2016,1000 hl,1
Africa,Madagascar,Wine imports,2016,1000 hl,0
Africa,Madagascar,Wine consumption,2016,1000 hl,89
Africa,Madagascar,Consumption of wine per capita (+15),2016,l/capita (+15),0.6
Africa,Malawi,Wine exports,2016,1000 hl,0
Africa,Malawi,Wine imports,2016,1000 hl,11
Africa,Malawi,Wine consumption,2016,1000 hl,6
Africa,Malawi,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
Asia,Malaysia,Wine exports,2016,1000 hl,45
Asia,Malaysia,Wine imports,2016,1000 hl,121
Asia,Malaysia,Wine consumption,2016,1000 hl,69
Asia,Malaysia,Consumption of wine per capita (+15),2016,l/capita (+15),0.3
Asia,Maldives,Wine exports,2016,1000 hl,0
Asia,Maldives,Wine imports,2016,1000 hl,15
Asia,Maldives,Wine consumption,2016,1000 hl,14
Asia,Maldives,Consumption of wine per capita (+15),2016,l/capita (+15),4.2
Africa,Mali,Wine exports,2016,1000 hl,0
Africa,Mali,Wine imports,2016,1000 hl,3
Africa,Mali,Wine consumption,2016,1000 hl,6
Africa,Mali,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
Europe,Malta,Wine production,2016,1000 hl,15
Europe,Malta,Wine exports,2016,1000 hl,0
Europe,Malta,Wine imports,2016,1000 hl,66
Europe,Malta,Wine consumption,2016,1000 hl,72
Europe,Malta,Consumption of wine per capita (+15),2016,l/capita (+15),19.5
America,Martinique,Wine exports,2016,1000 hl,0
America,Martinique,Wine imports,2016,1000 hl,0
America,Martinique,Wine consumption,2016,1000 hl,0
Africa,Mauritania,Wine imports,2016,1000 hl,0
Africa,Mauritania,Wine consumption,2016,1000 hl,0
Africa,Mauritius,Wine exports,2016,1000 hl,1
Africa,Mauritius,Wine imports,2016,1000 hl,25
Africa,Mauritius,Wine consumption,2016,1000 hl,22
Africa,Mauritius,Consumption of wine per capita (+15),2016,l/capita (+15),2.2
America,Mexico,Wine production,2016,1000 hl,404
America,Mexico,Wine exports,2016,1000 hl,12
America,Mexico,Wine imports,2016,1000 hl,789
America,Mexico,Wine consumption,2016,1000 hl,1074
America,Mexico,Consumption of wine per capita (+15),2016,l/capita (+15),1.2
Europe,Moldova,,,,
Europe,Moldova,,,,
Europe,Moldova,,,,
Europe,Moldova,,,,
Europe,Moldova,,,,
Asia,Mongolia,Wine imports,2016,1000 hl,13
Asia,Mongolia,Wine consumption,2016,1000 hl,14
Asia,Mongolia,Consumption of wine per capita (+15),2016,l/capita (+15),0.7
Europe,Montenegro,Wine production,2016,1000 hl,151
Europe,Montenegro,Wine exports,2016,1000 hl,68
Europe,Montenegro,Wine imports,2016,1000 hl,23
Europe,Montenegro,Wine consumption,2016,1000 hl,104
Europe,Montenegro,Consumption of wine per capita (+15),2016,l/capita (+15),20.4
America,Montserrat,Wine imports,2016,1000 hl,0
America,Montserrat,Wine consumption,2016,1000 hl,0
Africa,Morocco,Wine production,2016,1000 hl,349
Africa,Morocco,Wine exports,2016,1000 hl,10
Africa,Morocco,Wine imports,2016,1000 hl,19
Africa,Morocco,Wine consumption,2016,1000 hl,354
Africa,Morocco,Consumption of wine per capita (+15),2016,l/capita (+15),1.4
Africa,Mozambique,Wine exports,2016,1000 hl,0
Africa,Mozambique,Wine imports,2016,1000 hl,298
Africa,Mozambique,Wine consumption,2016,1000 hl,189
Africa,Mozambique,Consumption of wine per capita (+15),2016,l/capita (+15),1.2
Asia,Myanmar,Wine imports,2016,1000 hl,57
Asia,Myanmar,Wine consumption,2016,1000 hl,57
Asia,Myanmar,Consumption of wine per capita (+15),2016,l/capita (+15),0.2
Africa,Namibia,Wine exports,2016,1000 hl,33
Africa,Namibia,Wine imports,2016,1000 hl,416
Africa,Namibia,Wine consumption,2016,1000 hl,472
Africa,Namibia,Consumption of wine per capita (+15),2016,l/capita (+15),30.3
Oceania,Nauru,Wine imports,2016,1000 hl,0
Oceania,Nauru,Wine consumption,2016,1000 hl,0
Asia,Nepal,Wine exports,2016,1000 hl,0
Asia,Nepal,Wine imports,2016,1000 hl,8
Asia,Nepal,Wine consumption,2016,1000 hl,7
Asia,Nepal,Consumption of wine per capita (+15),2016,l/capita (+15),0
America,Netherlands Antilles,Wine imports,2016,1000 hl,0
America,Netherlands Antilles,Wine consumption,2016,1000 hl,33
Europe,Netherlands,Wine exports,2016,1000 hl,541
Europe,Netherlands,Wine imports,2016,1000 hl,4478
Europe,Netherlands,Wine consumption,2016,1000 hl,3416
Europe,Netherlands,Consumption of wine per capita (+15),2016,l/capita (+15),24.1
Oceania,New Caledonia,Wine imports,2016,1000 hl,55
Oceania,New Caledonia,Wine consumption,2016,1000 hl,68
Oceania,New Caledonia,Consumption of wine per capita (+15),2016,l/capita (+15),32.4
Oceania,New Zealand,Wine production,2016,1000 hl,3139
Oceania,New Zealand,Wine exports,2016,1000 hl,2126
Oceania,New Zealand,Wine imports,2016,1000 hl,372
Oceania,New Zealand,Wine consumption,2016,1000 hl,934
Oceania,New Zealand,Consumption of wine per capita (+15),2016,l/capita (+15),25
America,Nicaragua,Wine exports,2016,1000 hl,0
